x_m,model_depth_m,analytic_depth_m,model_u_m_s,analytic_u_m_s
-95.5,1.0,1.0,0.0,0.0
-94.5,1.0,1.0,0.0,0.0
-93.5,1.0,1.0,0.0,0.0
-92.5,1.0,1.0,0.0,0.0
-91.5,1.0,1.0,0.0,0.0
-90.5,1.0,1.0,0.0,0.0
-89.5,1.0,1.0,0.0,0.0
-88.5,1.0,1.0,0.0,0.0
-87.5,1.0,1.0,0.0,0.0
-86.5,1.0,1.0,0.0,0.0
-85.5,1.0,1.0,0.0,0.0
-84.5,1.0,1.0,0.0,0.0
-83.5,1.0,1.0,0.0,0.0
-82.5,1.0,1.0,0.0,0.0
-81.5,1.0,1.0,0.0,0.0
-80.5,1.0,1.0,0.0,0.0
-79.5,1.0,1.0,0.0,0.0
-78.5,1.0,1.0,0.0,0.0
-77.5,1.0,1.0,0.0,0.0
-76.5,1.0,1.0,0.0,0.0
-75.5,1.0,1.0,0.0,0.0
-74.5,1.0,1.0,0.0,0.0
-73.5,1.0,1.0,0.0,0.0
-72.5,1.0,1.0,0.0,0.0
-71.5,1.0,1.0,0.0,0.0
-70.5,1.0,1.0,0.0,0.0
-69.5,1.0,1.0,0.0,0.0
-68.5,1.0,1.0,0.0,0.0
-67.5,1.0,1.0,0.0,0.0
-66.5,1.0,1.0,0.0,0.0
-65.5,1.0,1.0,0.0,0.0
-64.5,1.0,1.0,0.0,0.0
-63.5,1.0,1.0,0.0,0.0
-62.5,1.0,1.0,0.0,0.0
-61.5,1.0,1.0,0.0,0.0
-60.5,1.0,1.0,0.0,0.0
-59.5,1.0,1.0,0.0,0.0
-58.5,1.0,1.0,0.0,0.0
-57.5,1.0,1.0,0.0,0.0
-56.5,1.0,1.0,0.0,0.0
-55.5,1.0,1.0,0.0,0.0
-54.5,1.0,1.0,0.0,0.0
-53.5,1.0,1.0,0.0,0.0
-52.5,1.0,1.0,0.0,0.0
-51.5,1.0,1.0,0.0,0.0
-50.5,1.0,1.0,0.0,0.0
-49.5,1.0,1.0,0.0,0.0
-48.5,1.0,1.0,0.0,0.0
-47.5,1.0,1.0,0.0,0.0
-46.5,1.0,1.0,0.0,0.0
-45.5,1.0,1.0,0.0,0.0
-44.5,1.0,1.0,0.0,0.0
-43.5,1.0,1.0,0.0,0.0
-42.5,1.0,1.0,0.0,0.0
-41.5,1.0,1.0,0.0,0.0
-40.5,1.0,1.0,0.0,0.0
-39.5,1.0,1.0,0.0,0.0
